               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029398,           0.0025422,                   0,             0.99121,             0.84171,             0.89105,               0.801,            0.033662,           0.0027232,                   0,            0.004852,            0.004852,            0.004852
                  39,             0.02911,           0.0025623,                   0,             0.99303,             0.83953,             0.88931,             0.79798,            0.034299,           0.0028147,                   0,            0.004848,            0.004848,            0.004848
                  40,            0.028658,           0.0024986,                   0,             0.98845,              0.8462,             0.89184,             0.79762,            0.033218,           0.0026319,                   0,            0.004844,            0.004844,            0.004844
                  41,            0.029064,           0.0024772,                   0,             0.99082,              0.8482,             0.89229,             0.79721,             0.03337,           0.0026503,                   0,             0.00484,             0.00484,             0.00484
                  42,             0.02867,           0.0025232,                   0,             0.98764,             0.84777,             0.89277,             0.79326,            0.033532,           0.0026893,                   0,            0.004836,            0.004836,            0.004836
                  43,            0.028814,            0.002557,                   0,             0.99125,              0.8457,             0.89318,             0.80277,            0.032978,           0.0026341,                   0,            0.004832,            0.004832,            0.004832
                  44,            0.029036,            0.002511,                   0,             0.99238,             0.84456,             0.89221,             0.79991,            0.032966,           0.0026003,                   0,            0.004828,            0.004828,            0.004828
                  45,            0.028424,           0.0025104,                   0,             0.99171,             0.84581,             0.89365,             0.80728,            0.032334,           0.0026422,                   0,            0.004824,            0.004824,            0.004824
                  46,            0.028303,           0.0023991,                   0,             0.99468,             0.84432,             0.89415,             0.81245,            0.032352,           0.0026136,                   0,             0.00482,             0.00482,             0.00482
                  47,            0.028028,           0.0024257,                   0,             0.98962,             0.85032,             0.89696,             0.80951,            0.032428,           0.0025201,                   0,            0.004816,            0.004816,            0.004816
                  48,            0.027315,           0.0023915,                   0,             0.99423,             0.84636,             0.89794,             0.81416,            0.031652,           0.0025546,                   0,            0.004812,            0.004812,            0.004812
                  49,            0.027606,           0.0024231,                   0,              0.9916,             0.84954,             0.89545,             0.81096,            0.031701,           0.0024775,                   0,            0.004808,            0.004808,            0.004808
                  50,            0.027732,             0.00236,                   0,             0.99382,             0.84581,             0.89672,             0.81795,            0.031745,           0.0024632,                   0,            0.004804,            0.004804,            0.004804
                  51,            0.027454,           0.0023694,                   0,             0.99377,             0.84665,             0.89851,               0.817,            0.031676,             0.00246,                   0,              0.0048,              0.0048,              0.0048
                  52,            0.026956,           0.0023233,                   0,             0.99272,             0.84757,             0.89886,             0.81954,            0.031173,           0.0024366,                   0,            0.004796,            0.004796,            0.004796
                  53,            0.027109,           0.0023692,                   0,             0.99071,             0.84954,             0.89764,             0.82287,            0.030979,           0.0024236,                   0,            0.004792,            0.004792,            0.004792
                  54,            0.028555,           0.0024599,                   0,             0.99452,               0.846,             0.89689,             0.81842,            0.031906,           0.0024395,                   0,            0.004788,            0.004788,            0.004788
                  55,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004784,            0.004784,            0.004784
                  56,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.00478,             0.00478,             0.00478
                  57,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004776,            0.004776,            0.004776
                  58,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004772,            0.004772,            0.004772
                  59,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004768,            0.004768,            0.004768
                  60,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004764,            0.004764,            0.004764
                  61,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.00476,             0.00476,             0.00476
                  62,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004756,            0.004756,            0.004756
                  63,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004752,            0.004752,            0.004752
                  64,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004748,            0.004748,            0.004748
                  65,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004744,            0.004744,            0.004744
                  66,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.00474,             0.00474,             0.00474
                  67,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004736,            0.004736,            0.004736
                  68,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004732,            0.004732,            0.004732
                  69,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004728,            0.004728,            0.004728
                  70,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004724,            0.004724,            0.004724
                  71,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.00472,             0.00472,             0.00472
                  72,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004716,            0.004716,            0.004716
                  73,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004712,            0.004712,            0.004712
                  74,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004708,            0.004708,            0.004708
                  75,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004704,            0.004704,            0.004704
                  76,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,              0.0047,              0.0047,              0.0047
                  77,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004696,            0.004696,            0.004696
                  78,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004692,            0.004692,            0.004692
                  79,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004688,            0.004688,            0.004688
                  80,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004684,            0.004684,            0.004684
                  81,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.00468,             0.00468,             0.00468
                  82,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004676,            0.004676,            0.004676
                  83,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004672,            0.004672,            0.004672
                  84,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004668,            0.004668,            0.004668
                  85,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.004664,            0.004664,            0.004664
