               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.01536,            0.014413,                   0,             0.97816,             0.90552,             0.95307,             0.88136,            0.021281,            0.013942,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.015285,            0.014375,                   0,             0.97805,              0.9065,               0.955,             0.88424,            0.020953,            0.013872,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.014872,            0.014065,                   0,             0.97175,             0.91214,             0.95431,             0.88451,            0.021122,             0.01359,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.014798,            0.014193,                   0,              0.9735,             0.91023,             0.95594,             0.88772,            0.021007,            0.013387,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.014701,             0.01393,                   0,              0.9778,             0.90859,             0.95465,             0.88903,            0.020929,              0.0133,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.014382,            0.013784,                   0,             0.97997,             0.90906,              0.9563,             0.89022,            0.020636,            0.013461,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.014516,            0.013854,                   0,             0.98394,              0.9065,             0.95663,             0.88863,            0.020552,            0.013256,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.014614,            0.013826,                   0,             0.97783,             0.90969,             0.95606,             0.88904,            0.020424,            0.013422,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.014292,            0.013629,                   0,             0.97804,             0.91003,             0.95659,             0.89081,            0.020336,             0.01328,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.014265,            0.013626,                   0,             0.98148,             0.90906,             0.95774,             0.89247,            0.020159,            0.012877,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.013733,            0.013361,                   0,             0.98222,             0.90748,             0.95786,              0.8928,            0.020035,             0.01313,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.014024,            0.013352,                   0,             0.97961,             0.91063,             0.95758,             0.89395,            0.020134,            0.012957,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.013775,            0.013275,                   0,             0.97917,             0.91043,             0.95752,             0.89557,             0.02011,            0.012864,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.013586,             0.01307,                   0,             0.98166,             0.90945,             0.95844,             0.89495,            0.019953,            0.012867,                   0,            0.004951,            0.004951,            0.004951
